feedback,preprocessed_answer,sentiment
‘I learnt that writing could be fun’,learnt write could fun,1
"‘Writing freely, and as I write I flew away with my imagination’",write freeli write flew away imagin,2
‘I have learnt to be confident’,learnt confid,2
"‘I have learnt about racism, striking and deforestation’",learnt racism strike deforest,2
"‘I have learnt a lot about spoken word in the workshop, and to be resilient’",learnt lot spoken word workshop resili,2
‘I have learnt to be more confident and that everybody has a voice.’,learnt confid everybodi voic,2
‘I have learnt how to be relaxed and calm.’,learnt relax calm,1
I have learnt that we should be confident and believe in ourselves and to always stay strong,learnt confid believ alway stay strong,1
"‘I really enjoyed this; it was fun while it lasted. This is great for children, and they need a chance to speak.’",realli enjoy fun last great children need chanc speak,1
‘I loved being a poet thank you so much’,love poet thank much,1
‘Not to be shy.’,shi,2
‘To be confident believe in myself and making me brave.’,confid believ make brave,1
‘I have learnt that we should be confident and believe in ourselves and to always stay strong.’,learnt confid believ alway stay strong,1
"""I have enjoyed this workshop because we get warmed up before we start writing"" - Sophie  、",enjoy workshop get warm start write sophi,1
"""Interesting because it was fun"" - Simon",interest fun simon,1
"""I found the workshop good"" - Jayen",found workshop good jayen,1
“It was awesome and Yossi the best”  - Kainat-zamon,awesom yossi best kainatzamon,1
"“I've really enjoyed spoken word projects. There's nothing that has to be improved because everything is amazing. The only thing that should be improved, since I loved it I think we should have more lessons” -  Evtimkol",ive realli enjoy spoken word project there noth improv everyth amaz thing improv sinc love think lesson evtimkol,1
“I've been feeling good about everything. We had more workshops 4 is not enough.”-  Jaylan,ive feel good everyth workshop enough jaylan,1
“What I have enjoyed when we had Tyler” -  Laurent,enjoy tyler laurent,1
“These workshops have always been great. I absolutely love all of them. I liked these 4 weeks with you Yossi” - Lea,workshop alway great absolut love like week yossi lea,1
“I have enjoyed writing poems and doing the games. I also enjoyed meeting Tyler. I learned to write loads of different poems.” -  AnayahMae,enjoy write poem game also enjoy meet tyler learn write load differ poem anayahma,1
“What I enjoyed is when we had Tyler and when we wrote our spoken word”  - Jazeel,enjoy tyler wrote spoken word jazeel,1
“Tyler was awesome and Yossi the best teacher” - Haroon,tyler awesom yossi best teacher haroon,1
“I have enjoyed the workshops. I have learnt that I can perform. The workshops were really fun. 4 workshops were not enough so I think we need more workshops.”  - Annika,enjoy workshop learnt perform workshop realli fun workshop enough think need workshop annika,1
"“Spoken word workshops have been amazing. Also, what I want is workshops on wednesday, thursday and friday. Also I want more workshops across the school year.” -  Jayden",spoken word workshop amaz also want workshop wednesday thursday friday also want workshop across school year jayden,2
“This workshop has been one of my favorite things I have each week and I wish it could go on forever. I would improve that there is another teacher like Tyler to help Yossi. This has taught me that children can finally have a choice in their life.”  - Angelina,workshop one favorit thing week wish could go forev would improv anoth teacher like tyler help yossi taught children final choic life angelina,2
“I enjoy that I learned how to rap and I hope to see you again” - Michael,enjoy learn rap hope see michael,1
"“I think the class is cool and Yossi is really cool, I like him.”  - Keyshar",think class cool yossi realli cool like keyshar,1
“I love these workshops” - Janmeria,love workshop janmeria,1
“I loved this workshop. I learned so many skills with my voice. I had used to have stage fright so thank you so much.” - Shantavia,love workshop learn mani skill voic use stage fright thank much shantavia,1
“I've enjoyed filling out the forms and making spoken word. I learned to be a bit more brave.” - Asfia,ive enjoy fill form make spoken word learn bit brave asfia,1
“I love these workshops as they build up my confidence” - Anas,love workshop build confid ana,1
“I enjoyed everything” - Asel,enjoy everyth asel,1
“I learned spoken word today and it is very fun” - Jaden,learn spoken word today fun jaden,1
“It was nice but I never feel like I am good enough” - Kilian,nice never feel like good enough kilian,1
“I really enjoyed the workshops. There were no negatives and it has made me enjoy writing. It got me active and helped me with projecting my voice” - Milo,realli enjoy workshop neg made enjoy write got activ help project voic milo,1
"""This workshop is very joyful"" - Joud",workshop joy joud,1
"""I feel good about this workshop because me feel excited"" - Irfan",feel good workshop feel excit irfan,1
"""I like these workshops"" - Zakari",like workshop zakari,2
"""I've enjoyed the activities because we get to do games. I've learned about being confident to yourself and others""  - Abdul",ive enjoy activ get game ive learn confid other abdul,0
"""These workshops are really fun because Yossi came and cheered me up when I was upset and I'm always looking forward to it"" - Nouran",workshop realli fun yossi came cheer upset im alway look forward nouran,1
"""I have been optimistic about it"" - Abdul",optimist abdul,2
"""I love it, couldn't be better"" - Memo",love couldnt better memo,1
"""Nice teacher, cool games/activities, less work"" - Nuriyah",nice teacher cool gamesact less work nuriyah,1
"""Workshop is really interesting. Workshop is not really my hobby"" - Raoan",workshop realli interest workshop realli hobbi raoan,2
"""It's nice to learn about spoken words. A very interesting topic to get taught. Wish: maybe less writing and more speaking but overall it's good to learn about.""  - Rihana",nice learn spoken word interest topic get taught wish mayb less write speak overal good learn rihana,1
"""I enjoyed that when we had to write the spoken word. I enjoyed that when the spoken word rhymes I need to improve in making it better""  - Kestrel",enjoy write spoken word enjoy spoken word rhyme need improv make better kestrel,1
"""I like the spoken word workshop because it is very entertaining. It making sure that everyone gets involved. A bit more help with the spoken word"" - Stella",like spoken word workshop entertain make sure everyon get involv bit help spoken word stella,1
"""I have enjoyed writing my opinion about the things we have been learning about. Another enjoyable thing when doing spoken word is when we do the warm ups which are pretty fun. Something that could be changed is doing a bit more of talking about the lesson"" - Lda",enjoy write opinion thing learn anoth enjoy thing spoken word warm up pretti fun someth could chang bit talk lesson lda,1
"""I liked it because it is fun and you can do rhymes and other fun stuff. Sometimes you can play short games""  - Kuzey",like fun rhyme fun stuff sometim play short game kuzey,1
"""I loved all the mondays because I love poetry, I could improve my rap""  - Laura",love monday love poetri could improv rap laura,1
"""I enjoyed learning how to be a poet. I like that we learn types of poems. If we can learn how to make poems""  - Tomi",enjoy learn poet like learn type poem learn make poem tomi,1
"""I did not like having to talk in front of everyone. I liked writing about nature""  - Ebe",like talk front everyon like write natur ebe,2
"""I enjoyed every single thing that we have done just because of how interesting it is and if I had to do it again I;'ll do it""  - Adiatida",enjoy everi singl thing done interest ill adiatida,0
"""A few things that I liked about the workshop is that we wrote poetry about what we like""  - Nareece",thing like workshop wrote poetri like nareec,2
“I have really loved the workshop. Yossi was very kind. I loved it because it was entertaining.”  - Ephraim,realli love workshop yossi kind love entertain ephraim,1
“It was fun” - Joshua,fun joshua,1
“I am feeling use to it all the time I will miss you so much” - Mariama,feel use time miss much mariama,1
"“I love this, can we stay? You're not so lame. I love Yossi, he is the best poetry speaker in the world. We had so much fun together and the session made me feel confident about going up on stage with a lot of audience. Spoken word poetry is the best, especially with Yossi”  - Agape",love stay your lame love yossi best poetri speaker world much fun togeth session made feel confid go stage lot audienc spoken word poetri best especi yossi agap,1
“These spoken word workshops have been a very fun experience. Yossi and Tyler have been very kind people and have a bright future. It has been great working with them and hope to see them in the future.” - Raynese,spoken word workshop fun experi yossi tyler kind peopl bright futur great work hope see futur raynes,1
“I love this workshop because Yossi is so kind and Tyler was kind. I also had a really fun time writing poems. I hope I get to have another workshop like this.”  - Alpay,love workshop yossi kind tyler kind also realli fun time write poem hope get anoth workshop like alpay,1
“The spoken word workshop is amazing because we got to learn how to do spoken word and learn new stuff and spend time with Tyler and Yossi they are the best spoken word.” - Delvia,spoken word workshop amaz got learn spoken word learn new stuff spend time tyler yossi best spoken word delvia,1
“If I was to do this again I would do it again: depending on the activity they are doing. I have learnt to express myself and I have learnt to write poems more clearly.” - Davina,would depend activ learnt express learnt write poem clearli davina,2
"“I really enjoyed this workshop because of the activities. Yossi was nice and made the workshop fun, I would recommend it to anyone, especially when you're stressed.” - Jahziah",realli enjoy workshop activ yossi nice made workshop fun would recommend anyon especi your stress jahziah,1
"“I loved it because it was fun, I think I can improve my confidence”  - Gergana",love fun think improv confid gergana,1
“I've enjoyed the workshop because I've learnt really useful things like stuff you shouldn't so to ruin the world. 5 star rating.”  - Rhys,ive enjoy workshop ive learnt realli use thing like stuff shouldnt ruin world star rate rhi,1
"""I love this because it makes calm if i'm mad I'll read my writing over and this is SO MUCH FUN"" - Marina-Joan",love make calm im mad ill read write much fun marinajoan,0
"""I have been feeling scared, worried, and happy""  - Tegan",feel scare worri happi tegan,2
"""I've really enjoyed these spoken word workshops because Yossi was really encouraging and makes you feel relaxed. They're really fun and make me relaxed. Thanks for teaching them Yossi :)""  - Ariera",ive realli enjoy spoken word workshop yossi realli encourag make feel relax theyr realli fun make relax thank teach yossi ariera,1
"""I'm Happy!""  - Sam",im happi sam,2
"""I really liked this workshop as it has given me a chance to express my feelings and learning how to be more of a more confident speaker""  - Jahniyah",realli like workshop given chanc express feel learn confid speaker jahniyah,2
“I enjoyed the workshop because I can do poems and I learnt how to relax and how to better poem”  - Alex,enjoy workshop poem learnt relax better poem alex,1
“I really like that I got to express myself” - Octavian,realli like got express octavian,2
"""I haven't enjoyed the workshops because on those weeks I've been feeling sad and I havent had any energy""  - Nya",havent enjoy workshop week ive feel sad havent energi nya,0
"""I've enjoyed this workshop because I've learnt more about other people's opinions and I've enjoyed also knowing how to express myself more :)""  - Lina",ive enjoy workshop ive learnt peopl opinion ive enjoy also know express lina,1
"""I feel good about this workshop because me feel excited"" - Irfan",feel good workshop feel excit irfan,1
"""These workshops are really fun because Yossi came and cheered me up when I was upset and I'm always looking forward to it""  -  Nouran",workshop realli fun yossi came cheer upset im alway look forward nouran,1
"""Being honest, I got a little nervous""  - Essa",honest got littl nervou essa,1
"""I sort of enjoyed the workshop because I learnt new things but it was difficult for my anxiety. I learnt that I should speak up. I hope to get my confidence up.""  - Zainab",sort enjoy workshop learnt new thing difficult anxieti learnt speak hope get confid zainab,1
"""I would like to change my mind about stuff. I would like to think clearly""  - Aisha",would like chang mind stuff would like think clearli aisha,2
"""The spoken word was actually fun. I remember the first and second time we were going to do spoken word, I was really excited to do so. I loved the time when we wrote a paragraph about something really important to us""  - Marwa",spoken word actual fun rememb first second time go spoken word realli excit love time wrote paragraph someth realli import us marwa,1
"""It was good because it made me feel open. I liked it because it made me feel better about myself. We could have got the choice to read out loud""   -  Chase",good made feel open like made feel better could got choic read loud chase,1
“I like my poem because it was racism about the world and money talking about these gives you life advice” - Maria,like poem racism world money talk give life advic maria,2
"“I really enjoyed this workshop because of the activities. Yossi was nice and made the workshop fun, I would recommend it to anyone, especially when you're stressed.”  - Jahziah",realli enjoy workshop activ yossi nice made workshop fun would recommend anyon especi your stress jahziah,1
“The spoken word workshop has helped me express my feelings about certain subjects. It has allowed me to speak freely about what has been happening and how to stop it.” - Ziann,spoken word workshop help express feel certain subject allow speak freeli happen stop ziann,1
"""I have enjoyed it because I don't feel nervous about speaking to an audience (also great to say fantastic)""  - Aisha",enjoy dont feel nervou speak audienc also great say fantast aisha,1
"""I feel great because it made little bit more better at speaking out"" - Jayden",feel great made littl bit better speak jayden,1
"""I'm feeling good because it made me more confident, I'm less scared now""  - Ella",im feel good made confid im less scare ella,1
"""I am a great poet who can easily write rhyming poetry with all my confidence (remember I like candy!)""   - Madieenah",great poet easili write rhyme poetri confid rememb like candi madieenah,1
"""I have learnt not to be afraid in front of a large audience and to enjoy poems"" - Sameera",learnt afraid front larg audienc enjoy poem sameera,0
"""I really liked about the workshop as it had boosted my confidence and made me happy""  - Adanya",realli like workshop boost confid made happi adanya,2
"""I think that these workshops were fantastic because I learnt about many things like the clicks and maybe other things as well. Yossi was a very good teacher with enthusiasm""  - Ghalib",think workshop fantast learnt mani thing like click mayb thing well yossi good teacher enthusiasm ghalib,1
"""It was good because I got to see that other people write and express my ideas""  -  Haiden",good got see peopl write express idea haiden,1
"""I really liked this workshop as it has given me a chance to express my feelings and learning how to be more of a more confident speaker""  -",realli like workshop given chanc express feel learn confid speaker,2
Jahniyah,jahniyah,2
“I have enjoyed the spoken word project because it is really fun and it taught me how to use my voice and speak. If i was here again I would want more spoken word workshops” - Ciaran,enjoy spoken word project realli fun taught use voic speak would want spoken word workshop ciaran,1
"“Spoken word workshops are amazing. We learn alot like how to speak in public. One thing I want is more workshops than 4, it is really enjoyable and you can learn a lot.”   -  Xavier",spoken word workshop amaz learn alot like speak public one thing want workshop realli enjoy learn lot xavier,1
“I have learnt how to rhyme the words” - Bobby,learnt rhyme word bobbi,2
“I have learnt how to rhyme the words”  - Joanna,learnt rhyme word joanna,2
“I have enjoyed meeting Tyler and Yossi and learning new things. Also Yossi has never skipped a day of spoken word.”  - Niamh,enjoy meet tyler yossi learn new thing also yossi never skip day spoken word niamh,1
“I enjoyed meeting Tyler and Yossi and participating in the workshop and improving my confidence and lots more!” - Rohanna,enjoy meet tyler yossi particip workshop improv confid lot rohanna,1
“I enjoyed the workshop because I can do poems and I learnt how to relax and how to better poem” - Alex,enjoy workshop poem learnt relax better poem alex,1
“What I love about the workshop is that I can find my confidence when I'm speaking out loud to my classmates. The workshop has been very good because I want to be school council next year so it is very good.”  -  Jahlea,love workshop find confid im speak loud classmat workshop good want school council next year good jahlea,1
“I enjoy that I learned how to rap and I hope to see you again”  - Michael,enjoy learn rap hope see michael,1
“I have enjoyed the workshops. I have learnt that I can perform. The workshops were really fun. 4 workshops were not enough so I think we need more workshops.”  - Annika,enjoy workshop learnt perform workshop realli fun workshop enough think need workshop annika,1
“One thing I like about spoken word is that I am able to make my voice be heard by rap and singing. I've enjoyed listening to people's raps and singing.”  - Cadyse,one thing like spoken word abl make voic heard rap sing ive enjoy listen peopl rap sing cadys,1
“I've enjoyed the writing. I've also learnt that I can project my voice in a variety of different ways. I also enjoyed it.” -  De-mark,ive enjoy write ive also learnt project voic varieti differ way also enjoy demark,1
“I've enjoyed filling out the forms and making spoken word. I learned to be a bit more brave.”  - Asfia,ive enjoy fill form make spoken word learn bit brave asfia,1
“I love these workshops as they build up my confidence” - Anas,love workshop build confid ana,1
“I really like that I got to express myself” - Octavian,realli like got express octavian,2
“I've learned to speak up about things!”  - Rahiem,ive learn speak thing rahiem,2
“I have been learning how to be brave...but I am still working on it!”  - Amal,learn bravebut still work amal,2
“I really enjoyed the workshops. There were no negatives and it has made me enjoy writing. It got me active and helped me with projecting my voice” - Milo,realli enjoy workshop neg made enjoy write got activ help project voic milo,1
“I learned spoken word today and it is very fun” - Jaden,learn spoken word today fun jaden,1
“Over these weeks I've learnt that it's good to speak up and express how you feel or what you're good at. I would rate these lessons 7/10 because sometimes there a bit boring for me and long also too energetic and some of the people in the lessons are annoying”  - Azyra,week ive learnt good speak express feel your good would rate lesson sometim bit bore long also energet peopl lesson annoy azyra,1
“I've enjoyed filling out the forms and making spoken words. I learned to be a bit more brave.” -  Asfia,ive enjoy fill form make spoken word learn bit brave asfia,1
“I love these workshops as they build up my confidence” - Anas,love workshop build confid ana,1
“I really enjoyed the workshops. There were no negatives and it has made me enjoy writing. It got me active and helped me with projecting my voice” - Milo,realli enjoy workshop neg made enjoy write got activ help project voic milo,1
"""I've enjoyed this workshop because I've learnt more about other people's opinions and I've enjoyed also knowing how to express myself more :)""  - Lina",ive enjoy workshop ive learnt peopl opinion ive enjoy also know express lina,1
"""I've enjoyed the activities because we get to do games. I've learned about being confident to yourself and others""  - Abdul",ive enjoy activ get game ive learn confid other abdul,0
"""These workshops are really fun because Yossi came and cheered me up when I was upset and I'm always looking forward to it""  - Nouran",workshop realli fun yossi came cheer upset im alway look forward nouran,1
"""I like the workshop because there are little things to do but I don't like reading out loud""  - Afsa",like workshop littl thing dont like read loud afsa,1
"""I enjoy the workshop because it's fun. I learn how to improve my speaking...."" - Amin",enjoy workshop fun learn improv speak amin,1
"""I sort of enjoyed the workshop because I learnt new things but it was difficult because of my anxiety. I learnt that I should speak up. I hope to get my confidence up.""  - Zainab",sort enjoy workshop learnt new thing difficult anxieti learnt speak hope get confid zainab,1
"""It's nice to learn about spoken words. A very interesting topic to get taught. Wish: maybe less writing and more speaking but overall it's good to learn about.""  - Rihana",nice learn spoken word interest topic get taught wish mayb less write speak overal good learn rihana,1
"""Improve speaking out loud and improve writing more. I've been good at speaking.""  - Ganey",improv speak loud improv write ive good speak ganey,1
"""I enjoyed that when we had to write the spoken word. I enjoyed that when the spoken word rhymes I need to improve in making it better""  - Kestrel",enjoy write spoken word enjoy spoken word rhyme need improv make better kestrel,1
"""I would like to change my mind about stuff. I would like to think clearly""  - Aisha",would like chang mind stuff would like think clearli aisha,2
"""I learnt about reading in front of the class, I feel more confident and positive""  - Armina",learnt read front class feel confid posit armina,2
"""I been doing good because I was standing up for myself""  - Krystian",good stand krystian,1
"""I've been liking spoken word as it's improved my rhyming and it gives everyone a chance to say what they think. One thing that could be better is that you shouldn't randomly pick somebody maybe the only that knows the answer""  - Sarim",ive like spoken word improv rhyme give everyon chanc say think one thing could better shouldnt randomli pick somebodi mayb know answer sarim,1
"""I like the spoken word workshop because it is very entertaining. It makes sure that everyone gets involved. A bit more help with the spoken word""  - Stella",like spoken word workshop entertain make sure everyon get involv bit help spoken word stella,1
"""The spoken word was actually fun. I remember the first and second time we were going to do spoken word, I was really excited to do so. I loved the time when we wrote a paragraph about something really important to us""  - Marwa",spoken word actual fun rememb first second time go spoken word realli excit love time wrote paragraph someth realli import us marwa,1
"""It was good because it made me feel open. I liked it because it made me feel better about myself. We could have got the choice to read out loud""  - Chase",good made feel open like made feel better could got choic read loud chase,1
"""I really liked it because it was fun. I got more confident. But sometimes I don't want to say it out loud""  - Alexander",realli like fun got confid sometim dont want say loud alexand,1
"""I enjoyed learning how to be a poet. I like that we learn types of poems. If we can learn how to make poems""  - Tomi",enjoy learn poet like learn type poem learn make poem tomi,1
"""A few things that I liked about the workshop is that we wrote poetry about what we like""  - Nareece",thing like workshop wrote poetri like nareec,2
"“I love this, can we stay? You're not so lame. I love Yossi, he is the best poetry speaker in the world. We had so much fun together and the session made me feel confident about going up on stage with a lot of audience. Spoken word poetry is the best, especially with Yossi”  - Agape",love stay your lame love yossi best poetri speaker world much fun togeth session made feel confid go stage lot audienc spoken word poetri best especi yossi agap,1
“I like my poem because it was racism about the world and money talking about these gives you life advice” - Maria,like poem racism world money talk give life advic maria,2
"“I enjoyed the workshop with Yossi, the professional spoken word poet. He encouraged us and increased our confidence. Thank you for the amazing workshop.”  - Susanna",enjoy workshop yossi profession spoken word poet encourag us increas confid thank amaz workshop susanna,1
“I’ve learned how to be more confident in performing and speaking in front of others but I need to work on my actions.”  - Mary-al,ive learn confid perform speak front other need work action maryal,0
“The spoken word workshop is amazing because we got to learn how to do spoken word and learn new stuff and spend time with Tyler and Yossi. They are the best spoken word.”  - Delvia,spoken word workshop amaz got learn spoken word learn new stuff spend time tyler yossi best spoken word delvia,1
“The spoken word workshop has helped me express my feelings about certain subjects. It has allowed me to speak freely about what has been happening and how to stop it.”  - Ziann,spoken word workshop help express feel certain subject allow speak freeli happen stop ziann,1
“I have enjoyed these workshops because we have worked together and written a poetry but we have also faced our fear by performing in front of people” - Heaven,enjoy workshop work togeth written poetri also face fear perform front peopl heaven,1
“I don't like it when I read out loud because I feel uncomfortable and I am too shy don't force me please. I learned about rhyming.”  -  Weronika,dont like read loud feel uncomfort shi dont forc pleas learn rhyme weronika,1
"“I loved it because it was fun, I think I can improve my confidence” - Gergana",love fun think improv confid gergana,1
“I've enjoyed the workshop because I've learnt really useful things like stuff you shouldn't do to ruin the world. 5 star rating.” - Rhys,ive enjoy workshop ive learnt realli use thing like stuff shouldnt ruin world star rate rhi,1
“I love the workshop because of all the new opportunities and new choices” - Shammah,love workshop new opportun new choic shammah,1
I would make these lessons more active. I would rate these lessons 6/10 because they can get a bit boring sometimes - Khallia,would make lesson activ would rate lesson get bit bore sometim khallia,2
"I would make these more fun, rating 8/10 - Dainah-shay",would make fun rate dainahshay,1
Make the lessons less active - Shak-Quane,make lesson less activ shakquan,0
I love the workshop. I learned so much stuff about this workshop. I really liked when I wrote my speech but sometimes I feel a little bit shy but now I get over it. - Shania,love workshop learn much stuff workshop realli like wrote speech sometim feel littl bit shi get shania,1
If I was able to improve the sessions I would make it longer. I really enjoyed it and really thankful for the time Yossi gave us. - Maria,abl improv session would make longer realli enjoy realli thank time yossi gave us maria,1
If I could change the spoken word I would add games! - Pedro,could chang spoken word would add game pedro,0
I would add chairs because my legs get tired - Mataiia,would add chair leg get tire mataiia,2
I enjoyed everything except how we were made to stand which hurt my joints and gave me cramps - Malachai,enjoy everyth except made stand hurt joint gave cramp malachai,1
I enjoyed everything but I would like us to stand up less - Avani,enjoy everyth would like us stand less avani,1
"""I didn't like it because it was boring, I learnt that you don't have to be nervous when you speak out loud"" - Jamil",didnt like bore learnt dont nervou speak loud jamil,1
"""I wish that you would not have to speak out loud"" - Lily",wish would speak loud lili,1
"""I didn't like it because we had to read out loud to the whole class. I get a bit more comfortable."" - Elisa",didnt like read loud whole class get bit comfort elisa,1
"""I don't like these workshops as I don't like writing and reading poetry aloud. Nice teacher, less work, no writing"" - Aisha",dont like workshop dont like write read poetri aloud nice teacher less work write aisha,1
"""I don't like how I have to speak out loud"" -  Ahura",dont like speak loud ahura,1
"""I enjoy workshops if it has nothing about writing"" - Aiman",enjoy workshop noth write aiman,1
"""I've been liking spoken word as it's improved my rhyming and it gives everyone a chance to say what they think. One thing that could be better is that you shouldn't randomly pick somebody maybe the only that knows the answer""  - Sarim",ive like spoken word improv rhyme give everyon chanc say think one thing could better shouldnt randomli pick somebodi mayb know answer sarim,1
"""I have enjoyed writing my opinion about the things we have been learning about. Another enjoyable thing when doing spoken word is when we do the warm ups which are pretty fun. Something that could be changed is doing a bit more of talking about the lesson"" - Lda",enjoy write opinion thing learn anoth enjoy thing spoken word warm up pretti fun someth could chang bit talk lesson lda,1
"""I really liked it because it was fun. I got more confident. But sometimes I don't want to say it out loud"" - Alexander",realli like fun got confid sometim dont want say loud alexand,1
"""I did not like having to talk in front of everyone. I liked writing about nature"" - Ebe",like talk front everyon like write natur ebe,2
Spoken word was a mystery to me until you showed us exactly what it was and to be honest I really enjoyed it. I was a little nervous in week one of spoken word but now I know that I had no reason to be afraid. I learnt many things like how to express my feelings and thoughts as well as express my voice. Thank you Yossi and Tyler.,spoken word mysteri show us exactli honest realli enjoy littl nervou week one spoken word know reason afraid learnt mani thing like express feel thought well express voic thank yossi tyler,1
"Thank you for amazing lessons throughout this term. I'm super grateful for what you've done for me and I've enjoyed spoken word so much!!! Before you came and taught us at Paxton Academy Sports and Science, I never knew anything about spoken word but now I feel like I've been living under a rock. Spoken word has made me realize that spoken word isn't just about words, it's about important things around the world. Every Friday when Ms. Ngaholam or a substitute says that we have spoken word, I was like ""Yipeee"" but now that today is the last day, I'm so sad because I will miss all the good lessons.",thank amaz lesson throughout term im super grate youv done ive enjoy spoken word much came taught us paxton academi sport scienc never knew anyth spoken word feel like ive live rock spoken word made realiz spoken word isnt word import thing around world everi friday ms ngaholam substitut say spoken word like yipee today last day im sad miss good lesson,1
"Dear Yossi,",dear yossi,2
"I'm writing to you because I would like to say Yeah Bomb! Thanx because your lesson are SO, SO FUN. It's more fun than Maths, English, Science, History and Assembly. But, it's not more fun than Art, DT, PE, and Soul.",im write would like say yeah bomb thanx lesson fun fun math english scienc histori assembl fun art dt pe soul,1
"Thank you so much Yossi! I really wish you are still able to carry on teaching us. But... this is sadly the last week. Even though you have dyslexia, you teach us so well! I never knew that I couldn't be afraid to read out my speech to everyone. That used to be my fear.Thank you! I really appreciate all the things you taught me. So many things. I never really knew about spoken word and I actually enjoy it. Thank you again and wish me luck for the performance.",thank much yossi realli wish still abl carri teach us sadli last week even though dyslexia teach us well never knew couldnt afraid read speech everyon use fearthank realli appreci thing taught mani thing never realli knew spoken word actual enjoy thank wish luck perform,1
Thank you for the shop you have done for us and you worked hard to teach us. You are so brave to teach 31 Choudhury. I learnt many things from you and the best part was when we first saw you because you did welcome us.,thank shop done us work hard teach us brave teach choudhuri learnt mani thing best part first saw welcom us,1
"Hi Yossi, I'm very thankful for you helping me to learn what spoken word is and I now kinda brave to speak in front of my class. Before you came, I didn't know about spoken word and now that you're here, I know what that is. Even though you have dyslexia, you teach us so well. You work really hard and I learned a lot about you.",hi yossi im thank help learn spoken word kinda brave speak front class came didnt know spoken word your know even though dyslexia teach us well work realli hard learn lot,1
"I'm writing to you to say thank you and all the things you have taught me. You are an amazing teacher and inspirer and I thank you for that. I'm so sorry about your dyslexia. You have really been a welcoming, helpful teacher.",im write say thank thing taught amaz teacher inspir thank im sorri dyslexia realli welcom help teacher,2
"Thank you for taking time out of your day and coming here at Paxton. Before you came to Paxton, I didn't really know what spoken word was before and now I know. Paxton really appreciates you. Thank you for everything I've really learnt a lot. I'm super grateful. I learnt many things from you and I'm inspired for preparing to my piece.",thank take time day come paxton came paxton didnt realli know spoken word know paxton realli appreci thank everyth ive realli learnt lot im super grate learnt mani thing im inspir prepar piec,1
"Thank you for teaching us spoken word. I've really enjoyed all the lessons. I've been to, even though you have dyslexia. You have worked so hard to prepare this workshop for 31 students. The best part of the workshop was when we were shouting. Hey you! Hope I'll see you soon.",thank teach us spoken word ive realli enjoy lesson ive even though dyslexia work hard prepar workshop student best part workshop shout hey hope ill see soon,1
I am very grateful that every Friday we get to learn with spoken word and I really enjoy that I could express myself and thank you so much for taking time out of YOUR time just to teach us to work on our speech and always making it fun.,grate everi friday get learn spoken word realli enjoy could express thank much take time time teach us work speech alway make fun,1
"Thank you Yossi for teaching me spoken word. I am writing to you because I want to say thank you because you have taught me some valuable things. Although you have dyslexia, you've been a very good teacher.",thank yossi teach spoken word write want say thank taught valuabl thing although dyslexia youv good teacher,1
"I really enjoyed you teaching us and I just want to thank you for teaching us, young and taking your time to teach us and I really like spoken words and now I'm learning how to do spoken words and I am really happy we get to perform so we can see each others' performances. Even though you have dyslexia, you still teach us well and that's why we like to teach more, you are on fire.",realli enjoy teach us want thank teach us young take time teach us realli like spoken word im learn spoken word realli happi get perform see other perform even though dyslexia still teach us well that like teach fire,1
