question,answer,preprocessed_answer,sentiment
Q4: Any further feedback or comments?,A: I loved this topic. ,love topic,1
Q4: Any further feedback or comments?,A: Thank you Yossi for great insights. ,thank yossi great insight,1
Q4: Any further feedback or comments?,A4: I love these workshops but I would add more activities. ,love workshop would add activ,1
Q4: Any further feedback or comments?,A4: Have two teachers have even more fun. 5 stars. ,two teacher even fun star,1
Q4: Any further feedback or comments?,A4: I really enjoyed this. It was fun while it lasted other than this. This is great for children as they need to have a chance to speak. ,realli enjoy fun last great children need chanc speak,1
Q4: Any further feedback or comments?,A4: It was a fun 5 weeks and I wish we could do it again! ,fun week wish could,1
Q4: Any further feedback or comments?,A4: I loved being a poet thank you so much. ,love poet thank much,1
Q4: Any further feedback or comments?,A4: Yes and it__ the best to learn Write 2 Speak.,ye best learn write speak,1
Q4 Any further feedback or comments?,"A4 It was so fun, I would like this to carry on after half term. ",fun would like carri half term,1
Q4: Any further feedback or comments?,A: I really loved this and I want to do something like this again. ,realli love want someth like,1
Q4: Any further feedback or comments?,A: A constant of mine is to spread our love and make sure others do this too. ,constant mine spread love make sure other,1
Q4: Any further feedback or comments?,A: I love the workshop because it makes me confident and be listened to by friends. Q1: What have you enjoyed about these workshops? A: I have enjoyed the energy watching people perform and the fun.,love workshop make confid listen friend q enjoy workshop enjoy energi watch peopl perform fun,1
Q4: Any further feedback or comments?,A: I loved it! ,love,1
Q4: Any further feedback or comments?,"A: I got it was silly, sunny, and enjoyable. ",got silli sunni enjoy,1
Q4: Any further feedback or comments?,"A: As further feedback, I think we could do more to help using actions and remembering our spoken word.",feedback think could help use action rememb spoken word,1
Q4: Any further feedback or comments?,A4: I would like it if we did personal growth other because it helps my ego ,would like person growth help ego,2
Q4: Any further feedback or comments?,A4: We will read poems in circle ,read poem circl,2
Q4: Any further feedback or comments?,A4: I really like it ,realli like,2
Q4: Any further feedback or comments?,A4: I would like to do more of these workshops ,would like workshop,2
Q4: Any further feedback or comments?,A4: There are so many words to say to this workshop but it was amazing ,mani word say workshop amaz,2
Q4: Any further feedback or comments?,A: Is there an afterschool club of these sessions? ,afterschool club session,2
Q4: Any further feedback or comments?,"A: You [instructor] was very extremely helpful. I would like [instructor] to stay. Signed, Laynah. ",instructor extrem help would like instructor stay sign laynah,2
Q4: Any further feedback or comments?,"A: Signed, E. ",sign e,2
Q4: Any further feedback or comments?,"A4: Well done, Yossi! ",well done yossi,2
Q4: Any further feedback or comments?,"A4: Well done, Yossi! _ ",well done yossi,2
Q4: Any further feedback or comments?,A4: I think this workshop has been amazing. I would recommend. ,think workshop amaz would recommend,2
Q4: Any further feedback or comments?,A4: I hope we can do this more often and write poems often. ,hope often write poem often,2
Q4: Any further feedback or comments?,"A4: It was amazing when Yossi came over on Mondays, always something to look forward to. ",amaz yossi came monday alway someth look forward,2
Q4: To make the session even better next time we could_,A: Make it a bit shorter. ,make bit shorter,0
Q4: To make the session even better next time we could_,A: Watch more videos. ,watch video,0
Q4: To make the session even better next time we could_,A: Give more time to write our poetry. _ ,give time write poetri,0
Q4: To make the session even better next time we could_,A: Say more poems to us. ,say poem us,0
Q4: To make the session even better next time we could_,A: Have more time to write. ,time write,0
Q4: To make the session even better next time we could_,A: Have more help and maybe do one as a group. _ ,help mayb one group,0
Q4: To make the session even better next time we could_,A: Have more help writing our poems. ,help write poem,0
Q4: To make the session even better next time we could_,A: Maybe have a little bit more time to write them because some people were quite needy. ,mayb littl bit time write peopl quit needi,0
Q4: To make the session even better next time we could_,A: Have more help writing them. ,help write,0
Q4: To make the session even better next time we could_,A: Have more help writing the poems. ,help write poem,0
Q4: To make the session even better next time we could_,A4: Spend more time writing. ,spend time write,0
Q4: To make the session even better next time we could_,A4: Learn how to actually make and structure them. ,learn actual make structur,1
Q4: To make the session even better next time we could...,A4: Add chairs to sit on. ,add chair sit,0
Q4: To make the session even better next time we could...,A4: N/A. ,na,2
Q4: To make the session even better next time we could...,A4: Bigger break. ,bigger break,0
Q4: To make the session even better next time we could...,A4: Have longer to write our raps. ,longer write rap,0
Q4: To make the session even better next time we could...,A4: Work in groups. Watch more vids. ,work group watch vid,0
Q4: Any further feedback or comments?,A: Encourage more people to be more confident. ,encourag peopl confid,2
Q4: Any further feedback or comments?,A: Thank you for letting us do a workshop. ,thank let us workshop,2
Q4: Any further feedback or comments?,A: Thank you for the workshop. ,thank workshop,2
Q4. Any further feedback or comments?,A4. Yossi is the most funniest guy ever. ,yossi funniest guy ever,2
Q4. Any further feedback or comments?,A4. I want this to continue through the year. ,want continu year,2
Q4. Any further feedback or comments?,A4. Can we do more spoken word ,spoken word,2
Q4. Any further feedback or comments?,A4. Fox __hank you_ ,fox thank,2
Q4. Any further feedback or comments?,A4. I would like Tyler to come more with you. ,would like tyler come,2
Q4. Any further feedback or comments?,A4. Have both Yossi and Tyler during the workshop. ,yossi tyler workshop,2
Q4. Any further feedback or comments?,A4. Other year groups should have the chance to do workshops. ,year group chanc workshop,2
Q4. Any further feedback or comments?,A4. My feedback is how amazing they taught us how to rhyme. ,feedback amaz taught us rhyme,1
Q4 Any further feedback or comments?,A4 I think you should put this in other schools ,think put school,2
Q4. Any further feedback or comments?,A4. Hope to is a 10/10. ,hope,2
Q4. Any further feedback or comments?,A4. I wish we could do more. ,wish could,1
Q4: Any further feedback or comments?,A4: I wish we come here every day to see you. ,wish come everi day see,2
Q4: Any further feedback or comments?,A4: Thank for bringing us to the workshop. ,thank bring us workshop,1
Q4: Any further feedback or comments?,A4: I liked it! ,like,1
Q4: Any further feedback or comments?,A: I think that spoken word should carry on and work with more year. ,think spoken word carri work year,1
Q4: Any further feedback or comments?,A: Make it bit more interesting. ,make bit interest,1
Q4: Any further feedback or comments?,A: happy ,happi,1
Q4: Any further feedback or comments?,A: Maybe be a bit more confident. ,mayb bit confid,0
Q4: Any further feedback or comments?,A: I really liked it. __,realli like,2
Q4: To make the session even better next time we could...,A: Show more videos of spoken word poetry. ,show video spoken word poetri,2
Q4: To make the session even better next time we could...,A: Try writing poems together. ,tri write poem togeth,2
Q4: To make the session even better next time we could...,A: Show us more of famous spoken word poetry. ,show us famou spoken word poetri,2
Q4: To make the session even better next time we could...,A: Have some more ideas about what to write our poems on. ,idea write poem,2
Q4: To make the session even better next time we could...,A: Have more time to write. ,time write,2
Q4: To make the session even better next time we could...,A: Spend more time writing the poems ,spend time write poem,2
Q4: To make the session even better next time we could...,A: Have help from the guy to improve our words. ,help guy improv word,2
Q4: To make the session even better next time we could...,A: More group work. ,group work,0
Q4: To make the session even better next time we could...,A: Include everyone. ,includ everyon,0
Q4: To make the session even better next time we could...,A: Do it in groups. ,group,0
Q4: To make the session even better next time we could...,A: Do poems in groups. ,poem group,0
Q4: To make the session even better next time we could...,"A: Have more writing time, more read and can watch more videos. ",write time read watch video,0
Q4: To make the session even better next time we could...,A: Have more time to create. ,time creat,0
Q4: Any further feedback or comments?,A: To give the year five that some get the chance to do this. ,give year five get chanc,2
Q4: Any further feedback or comments?,A: I think you should do this more recently. ,think recent,1
Q4: Any further feedback or comments?,A: The place is amazing. ,place amaz,1
Q4: Any further feedback or comments?,A: The workshops were excellent!!! ,workshop excel,1
Q4: Any further feedback or comments?,A: The workshops were excellent!!! ,workshop excel,1
Q4: Any further feedback or comments?,A: I__ recommend because it is very funny and relaxing. ,id recommend funni relax,1
Q4: Any further feedback or comments?,"A4: In my writing, I can do comments ",write comment,2
Q4: Any further feedback or comments?,A4: We could do more activities ,could activ,0
Q4: Any further feedback or comments?,A4: I really like that we get to say what we need to say ,realli like get say need say,2
Q4: Any further feedback or comments?,A: Yossi is amazing and I 100% recommend his workshops. ,yossi amaz recommend workshop,1
Q4: Any further feedback or comments?,A: Yossi is a friendly and funny guy. ,yossi friendli funni guy,1
Q4: Any further feedback or comments?,A4: The workshops are funnier than home. ,workshop funnier home,1
Q4: Any further feedback or comments?,A4: Maybe to have two Yossis. ,mayb two yossi,1
Q4: Any further feedback or comments?,"A4: It was amazing, it was amazing. 5 stars. ",amaz amaz star,1
Q4: Any further feedback or comments?,A4: I want to do this again. ,want,1
Q4: Any further feedback or comments?,A4: Are we ever going to do workshops again? ,ever go workshop,1
Q4: Any further feedback or comments?,"A4: Yes, can we choose if we want to perform? What if some people don__ want to? Do they have a choice? ",ye choos want perform peopl dont want choic,0
Q4: Any further feedback or comments?,A4: I want to carry on this in year 6. ,want carri year,2
Q4: Any further feedback or comments?,A4: Have more activities! ,activ,0
Q4: Any further feedback or comments?,A4: I hope. Ryhan a lot. ,hope ryhan lot,2
Q4: Any further feedback or comments?,A4: I think this helps develop our confidence. ,think help develop confid,1
Q4 Any further feedback or comments?,A4 This was my favorite workshop I ever had! ,favorit workshop ever,1
Q4: Any further feedback or comments?,A: We could have more time when sharing writing. ,could time share write,1
Q4: Any further feedback or comments?,A: Let__ see how we can get more sessions planned. ,let see get session plan,0
Q4: Any further feedback or comments?,A: I would like to do it again. ,would like,1
Q4: Any further feedback or comments?,A: To be part of more workshops. ,part workshop,1
